mpu_address,yaw,pitch,roll,x_accel,y_accel,z_accel
104,75.91,42.26,77.15,0.22,0.91,0.24
104,77.27,45.06,77.24,0.23,0.95,0.26
104,82.09,24.85,86.32,0.09,0.98,0.15
104,82.5,14.44,88.06,0.04,0.98,0.15
105,86.98,54.85,85.71,0.09,0.95,0.07
104,87.91,327.72,91.32,0.0,0.98,0.06
105,92.75,127.48,86.42,0.06,1.04,0.0
104,75.55,7.15,88.15,0.04,0.96,0.29
105,86.45,36.94,87.33,0.07,0.95,0.06
104,80.31,353.62,91.09,0.0,0.85,0.19
105,85.22,17.15,88.52,0.07,0.95,0.1
104,64.71,14.26,83.15,0.09,0.64,0.29
105,86.51,58.25,84.37,0.07,0.88,0.11
104,59.51,23.59,75.58,0.22,0.84,0.49
105,88.16,80.28,79.36,0.18,0.9,0.09
104,71.63,31.07,78.69,0.17,0.87,0.29
105,81.7,43.9,82.0,0.15,1.07,0.19
104,68.65,31.88,76.33,0.21,0.84,0.35
105,83.83,50.97,82.41,0.15,1.0,0.14
104,75.33,35.27,79.51,0.19,0.94,0.26
105,82.25,28.38,85.79,0.1,0.9,0.13
104,76.18,30.68,81.7,0.14,0.9,0.25
105,86.44,69.78,80.42,0.18,0.96,0.08
104,84.52,55.77,81.97,0.16,0.97,0.11
105,84.35,32.11,86.45,0.09,1.0,0.12
104,85.3,61.38,81.43,0.18,1.08,0.06
104,88.06,77.28,81.48,0.18,1.04,0.04
105,87.72,62.34,85.65,0.09,1.12,0.04
105,90.44,96.96,86.37,0.05,0.92,0.09
104,89.06,82.34,83.03,0.15,0.98,0.03
105,89.39,72.36,88.07,0.07,0.89,0.03
104,85.16,64.28,80.04,0.19,0.96,0.1
105,86.34,12.9,89.16,0.03,0.94,0.07
104,91.01,96.65,81.44,0.16,0.92,0.03
105,88.35,34.39,88.87,0.05,1.03,0.04
104,90.68,95.27,82.64,0.14,0.97,0.0
105,90.8,133.8,89.16,0.03,0.94,0.02
104,89.4,85.05,83.08,0.14,0.96,0.03
105,88.38,330.1,90.93,0.01,0.94,0.05
105,89.34,295.14,91.41,0.0,1.0,0.03
104,91.66,98.66,79.23,0.2,0.94,0.02
105,90.74,158.69,89.71,0.02,0.97,0.0
104,90.86,96.83,82.85,0.14,0.98,0.02
104,87.42,69.77,83.02,0.13,0.95,0.07
104,89.27,83.05,84.07,0.13,1.02,0.04
104,87.35,64.18,84.53,0.11,0.99,0.07
104,89.02,74.41,86.49,0.08,0.96,0.05
104,86.77,66.05,82.76,0.13,0.98,0.1
104,93.23,142.57,87.52,0.05,0.84,0.09
104,66.86,6.28,87.31,0.01,1.0,0.42
104,88.22,319.01,91.54,0.01,0.98,0.09
105,87.07,16.66,89.12,0.04,1.05,0.07
104,74.1,359.24,90.22,0.0,0.97,0.36
105,90.25,91.02,76.3,0.29,1.07,0.02
105,83.91,78.25,62.84,0.54,1.01,0.12
105,79.09,74.91,54.42,0.62,0.88,0.19
105,68.1,67.42,45.96,0.71,0.73,0.31
105,57.36,73.21,25.23,0.75,0.35,0.24
105,50.19,74.7,18.17,0.84,0.3,0.24
105,29.4,79.07,6.21,0.83,0.1,0.18
105,43.28,74.4,14.73,0.86,0.24,0.24
105,64.12,66.3,42.14,0.62,0.52,0.27
105,64.52,49.54,60.81,0.41,0.76,0.37
105,73.69,50.95,70.17,0.35,0.96,0.26
104,76.33,22.33,84.3,0.1,0.8,0.21
105,76.96,46.9,76.1,0.3,1.15,0.27
104,75.86,44.39,76.14,0.25,0.96,0.25
105,82.75,68.1,72.45,0.37,1.07,0.19
104,74.2,45.89,73.73,0.25,0.81,0.23
105,85.81,81.35,64.29,0.46,0.95,0.08
104,74.81,49.54,72.34,0.29,0.88,0.24
105,86.02,81.34,65.45,0.45,1.02,0.08
104,80.47,62.9,71.85,0.31,0.87,0.14
105,81.06,51.51,78.82,0.23,1.04,0.19
104,76.11,58.36,68.14,0.34,0.82,0.22
105,85.16,39.3,86.04,0.09,0.98,0.12
104,82.65,67.87,72.39,0.28,0.84,0.16
104,82.1,63.15,74.67,0.29,0.97,0.17
104,77.63,50.91,74.89,0.27,0.99,0.32
105,83.52,356.68,90.38,0.01,0.95,0.13
104,77.32,42.96,78.17,0.22,0.99,0.23
105,79.31,313.78,101.15,0.16,0.97,0.34
104,80.18,45.12,80.14,0.18,0.94,0.16
105,79.1,31.3,83.32,0.13,0.96,0.2
104,71.72,29.69,79.33,0.18,0.96,0.35
105,77.74,38.91,80.06,0.19,0.92,0.21
104,85.75,49.71,85.0,0.15,1.02,0.2
105,80.03,38.42,82.06,0.19,0.95,0.15
104,85.68,40.62,86.29,0.08,0.9,0.09
105,78.5,31.12,83.0,0.14,0.92,0.24
104,82.3,15.86,87.8,0.06,0.99,0.14
105,78.22,44.24,78.52,0.21,0.98,0.22
104,83.42,6.4,89.26,0.03,0.97,0.13
105,82.46,66.02,73.43,0.31,1.04,0.16
105,82.82,73.81,66.56,0.47,1.05,0.14
105,82.96,80.52,53.52,0.71,0.93,0.12
105,76.58,77.58,42.69,0.84,0.77,0.2
105,75.83,81.58,30.36,1.01,0.6,0.16
105,94.44,90.84,10.65,0.72,0.36,0.15
105,55.8,77.07,18.66,0.99,0.4,0.28
105,73.73,75.21,42.14,0.8,0.73,0.22
104,74.17,13.28,86.17,0.09,1.14,0.34
105,76.68,69.07,58.24,0.45,0.71,0.19
104,71.77,6.95,87.7,0.05,0.84,0.29
105,88.13,86.71,60.39,0.51,0.89,0.03
104,80.46,26.38,85.24,0.1,0.96,0.17
104,83.37,39.37,84.55,0.09,0.85,0.11
105,88.02,77.28,81.3,0.19,1.08,0.06
104,79.47,28.84,84.15,0.11,0.87,0.18
105,86.7,41.91,87.04,0.1,1.08,0.08
104,80.28,34.63,83.25,0.13,0.99,0.2
105,89.25,85.96,79.53,0.25,1.25,0.03
104,81.88,42.82,82.47,0.14,0.95,0.14
105,88.86,84.67,78.01,0.2,0.91,0.05
104,79.72,44.54,79.88,0.18,0.95,0.19
105,85.81,1.5,89.89,0.02,0.99,0.11
104,80.14,44.72,80.24,0.18,0.92,0.17
104,81.68,44.79,81.74,0.15,0.94,0.16
104,77.35,35.65,80.85,0.16,0.97,0.29
104,83.77,40.31,84.71,0.24,1.08,0.1
105,87.15,346.7,90.67,0.01,0.95,0.08
104,82.08,22.23,86.74,0.07,0.95,0.14
104,82.56,27.84,86.05,0.09,0.96,0.13
104,82.37,21.11,87.04,0.07,0.95,0.14
104,85.44,43.52,85.67,0.04,0.9,0.13
104,83.55,18.69,87.81,0.02,0.99,0.17
105,81.56,5.94,89.12,0.04,1.02,0.19
105,79.98,53.94,76.36,0.24,0.98,0.23
105,82.06,68.01,70.95,0.34,0.94,0.16
105,82.79,74.9,64.88,0.44,0.89,0.13
105,81.74,76.81,58.22,0.56,0.9,0.12
105,81.25,80.04,48.78,0.84,0.96,0.18
105,74.05,77.07,38.78,0.92,0.73,0.22
105,61.59,67.9,36.9,0.7,0.51,0.32
105,44.8,72.75,17.13,0.63,0.18,0.12
105,43.85,68.31,20.92,0.71,0.3,0.32
105,60.75,62.19,43.29,0.72,0.76,0.42
104,69.99,358.9,90.4,0.01,0.91,0.34
105,72.14,70.56,47.61,0.78,0.86,0.25
105,73.5,64.3,58.39,0.55,0.88,0.27
105,77.97,69.32,60.56,0.53,0.9,0.23
104,77.18,359.08,90.21,0.01,0.97,0.23
