mpu_address,yaw,pitch,roll,x_accel,y_accel,z_accel
104,74.37,46.36,73.65,0.29,0.93,0.32
104,81.54,61.48,74.7,0.3,1.08,0.35
104,83.39,69.08,73.14,0.32,0.86,0.27
104,76.64,53.78,72.03,0.28,0.85,0.22
105,90.56,99.04,86.5,0.11,0.99,0.01
104,78.98,53.74,75.13,0.25,0.91,0.2
105,89.3,84.54,82.75,0.15,1.0,0.02
104,73.86,43.73,74.52,0.28,0.91,0.28
105,86.55,51.16,85.72,0.11,0.99,0.07
104,78.94,51.32,76.28,0.24,0.91,0.19
105,83.91,32.31,86.14,0.08,0.91,0.1
104,78.28,50.65,75.8,0.26,0.94,0.21
105,86.03,53.09,84.72,0.16,0.97,0.03
104,78.33,49.14,76.57,0.23,0.93,0.2
105,88.65,77.68,83.86,0.13,0.96,0.04
104,80.4,52.12,77.73,0.21,0.92,0.17
105,87.75,63.83,85.42,0.1,0.98,0.07
104,78.61,49.19,76.86,0.23,0.9,0.2
105,88.16,63.76,86.27,0.09,0.98,0.06
104,81.07,52.77,78.32,0.21,0.96,0.17
104,78.99,49.55,77.15,0.23,0.93,0.19
104,78.6,51.52,75.77,0.25,0.93,0.23
105,90.36,99.65,87.88,0.09,0.99,0.02
104,82.76,63.35,75.8,0.25,0.94,0.12
104,81.42,56.27,77.26,0.23,0.97,0.16
104,83.68,58.4,79.8,0.19,0.91,0.12
104,78.53,51.71,75.59,0.25,0.93,0.2
104,78.72,50.62,76.34,0.24,0.95,0.21
104,78.59,49.69,76.62,0.23,0.96,0.2
104,79.72,49.93,77.83,0.21,0.92,0.19
104,77.6,44.08,77.98,0.22,0.92,0.22
104,78.96,45.44,78.8,0.2,0.92,0.21
104,78.87,44.34,79.12,0.2,0.94,0.2
104,79.75,45.45,79.59,0.19,0.95,0.19
104,79.38,44.11,79.7,0.19,0.94,0.19
104,78.25,42.08,79.37,0.2,0.92,0.2
104,77.29,38.9,79.68,0.19,0.93,0.23
104,79.21,40.43,80.77,0.17,0.95,0.19
104,79.09,36.97,81.74,0.16,0.94,0.21
104,82.17,38.99,83.65,0.13,0.97,0.15
104,80.04,41.14,81.28,0.16,0.98,0.18
104,77.81,33.58,81.84,0.15,0.87,0.18
104,79.08,35.38,82.2,0.15,0.97,0.2
104,77.27,34.55,81.16,0.17,0.98,0.23
104,82.06,40.06,83.31,0.13,1.04,0.15
104,75.06,28.45,81.77,0.13,0.93,0.24
105,84.49,356.11,90.38,0.01,1.0,0.11
104,75.51,27.32,82.39,0.15,0.93,0.25
105,85.64,340.86,91.52,0.01,1.0,0.09
104,73.97,32.94,79.46,0.21,0.98,0.28
105,86.56,345.62,90.88,0.0,0.97,0.09
104,77.03,38.26,79.7,0.2,0.94,0.22
104,77.26,42.37,78.35,0.23,0.92,0.23
105,87.96,328.04,91.27,0.0,0.94,0.05
104,77.06,55.03,71.82,0.3,0.88,0.22
105,88.34,4.51,89.87,0.03,0.93,0.05
104,73.53,48.47,71.55,0.29,0.87,0.26
105,88.02,8.18,89.72,0.03,0.92,0.05
104,76.68,52.19,73.04,0.25,0.82,0.21
105,87.29,2.75,89.87,0.03,0.95,0.06
104,78.06,51.6,75.07,0.25,0.89,0.2
105,86.3,12.15,89.2,0.04,0.93,0.07
104,78.69,43.74,79.17,0.16,0.76,0.16
105,89.33,82.19,85.11,0.09,0.89,0.03
